АБ,автоблокировка
ГУ ЦВКО,центр по взаимодействию с компаниями - операторами МПС
ГУП ЦСС,центральная станция связи МПС
ДВ,отдел специальных и негабаритных перевозок службы перевозок
ДГ,начальник оперативно-распорядительного отдела службы Д
ДГКУ,дрезина с гидропередачей калужская усиленная
ДГПН,дежурный по направлению
ДГП,дорожный диспетчер
ДГС,старший дорожный диспетчер
ДДЭ,Дежурный Диспетчер Эксплуатации (в метро)
ДИСПАРК,автоматизированная система пономерного учета и определения
ДИСКОН,то же, что и ДИСПАРК, только для контейнеров
ДИСТПС,аналог ДИСПАРК для Тягового и Подвижного Составов
ДИСССПС,аналог ДИСПАРК для Специального Самоходного Подвижного Составов
ДК,диспетчерский контроль
ДЛ,пассажирская станция
ДНБ,Начальник кондукторского резерва
ДНЦ,поездной участковый (узловой) диспетчер
ДНЦВ,вагонно-pаспоpядительный диспетчер
ДНЦО,дежурный по отделению
ДНЦС,старший диспетчер
ДНЦТ,локомотивный диспетчер; по другим сведениям, не применяется
ДНЧ,ревизор движения отдела перевозок
ДОП,Дирекция Обслуживания Пассажиров
ДПКС,дежурный пункт дистанции контактной сети
ДР,деповской ремонт
ДР,старший ревизор службы перевозок
ДРС,дорожно-распорядительная связь
ДС,начальник станции
ДСГ,главный инженер станции
ДСД,главный кондуктор (составитель поездов)
ДСЗ,зам. начальника станции
ДСЗМ,зам ДС по грузовой работе
ДСЗО,зам ДС по оперативной работе
ДСЗТ,зам ДС по технической работе
ДСИ,инженер железнодорожной станции
ДСМ,заместитель начальника станции по грузовой работе
ДСПГ,дежурный по горке
ДСПГО,оператор при дежурном по сортировочной горке
ДСПП,дежурный по парку
ДСПФ,дежурный по парку формирования
ДСТК,начальник контейнерного отделения станции
ДСТКП,заведующий контейнерной площадкой
ДСЦ,маневровый диспетчер
ДСЦМ,станционный грузовой диспетчер
ДСЦП,дежурный поста централизации в метро
ДЦ,диспетчерская централизация стрелок и сигналов
ДЦФТО,дорожный центр фирменного транспортного обслуживания
ДЦХ,поездной диспетчер в метро
ЕДЦУ,единый диспетчерский центр управления
ЕК ИОДВ,единый комплекс интегрированной обработки дорожной ведомости
ЕМЦСС,единая магистральная цифровая сеть связи
ЕСР,единая сетевая разметка станций
ЖОКС,многожильное кабельное соединение между вагонами электропоезда
ЗКУ,комендатура военных сообщений
ЗТК,начальник товарной конторы
ЗУБ,землеуборочная машина Балашенко
ИВЦ,информационно-вычислительный центр (один на каждой железной дороге)
ИДП,Инструкция по движению поездов и маневровой работе на железных дорогах
ИСИ,Инструкция по сигнализации на железных дорогах
КАС ДУ,комплексная автоматизированная система диспетчерского управления
КБ,купейные вагоны с буфетами
КГМ,комплекс горочный микропроцессорный
КГУ,контрольно-габаритные устройства (верхнего габарита, устанавливаются перед
КК,козловой кран
КЛУБ,Комплексное Локомотивное Устройство Безопасности
КОМ,машина для очистки кюветов
КПА,контрольный пункт автосцепки
КПД,Контроль Параметров Движения (электронный скоростемер)
КСАУ СП,комплексная система автоматизированного управления сортировочным
КСАУ СС,комплексная система автоматизированного управления сортировочной
КТП,Комплектная Трансформаторная Подстанция
КТПО,Комплектная Трансформаторная Подстанция Подъёмно-Опускного типа
КТСМ,Комплекс Технических Средств Многофункциональный/Модернизированный
ЛАЗ,Линейно-Аппаратный Зал связи
ЛБК,отделенческая группа по учету, распределению и использованию мест
ЛВОК,начальник вокзала
ЛВЧД,вагонное депо для пассажирских вагонов (обычно совмещается с ПТС)
ЛНП,начальник (механик-бригадир) поезда
ЛОВД,линейное отделение внутренних дел
ЛОВДТ,линейное отделение внутренних дел на транспорте
ЛП,пассажирский поезд (на некоторых дорогах)
ЛПМ,линейный пункт транспортной милиции
ЛРК,ревизор-контролер пассажирских поездов
ЛРКИ,ревизор-инструктор
ЛСЦ,маневровый диспетчер
МАЛС,Маневровая Автоматическая Локомотивная Сигнализация
МВПС,мотор-вагонный подвижной состав
МВР,ревизор по весовому хозяйству
МДП,моторная платформа
МЖС,поездная межстанционная связь
МК,мягко-купейные вагоны (МИКСТ)
МКР,участковый коммерческий ревизор отделения дороги
МКРС,старший коммерческий ревизор отделения дороги
МКУ,Маршрутно-контрольные устройства (при ручных стрелках)
МП,мостовой поезд
МПРС,комплекс для выправки, шлифовки и подбивки стыков
МПТ,мотовоз путейский транспортный
МПЦ,микропроцессорная централизация стрелок и сигналов
МРЦ,маршрутно-релейная централизация стрелок и сигналов
МСП,машина для смены стрелочных переводов
МХ,сектор хладотранспорта в службе М
МХП,хладотехник (практически упразднены)
МХР,ревизор по хладотранспорту (практически упразднены)
МЧ,механизированная дистанция погрузочно-разгрузочных работ
МЧК,МЧ с выполнением коммерческих операций (в СПб - Дирекция грузовой и
МЭЦ,электрическая централизация маневровых районов
МЮ,актово-претензионный сектор службы М
НВП,начальник восстановительного поезда
НГ,главный инженер дороги
НГЧ,дистанция гражданских сооружений
НЗ,заместитель начальника дороги
НОД,начальник отделения дороги
НОДА,общий отдел отделения дороги
НОДБТ,начальник отдела охраны труда
НОДВ,отдел вагонного хозяйства (подвижного состава) отделения дороги
НОДВИС,инспектор по контролю за сохранностью вагонного парка
НОДГ,главный инженер отделения дороги
НОДЗ,отдел труда и зарплаты отделения дороги
НОДИС,инспектор по контролю за исполнением поручений НОДа
НОДК,начальник отдела управления персоналом отделения дороги
НОДЛ,начальник пассажирского отдела (там же)
НОДМ,начальник отдела грузовой и коммерческой работы отделения дороги
НОДН,начальник отдела перевозок отделения дороги
НОДО,первый отдел отделения дороги
НОДП,отдел пути отделения дороги
НОДР,второй (режимный) отдел отделения дороги
НОДТ,локомотивный отдел отделения дороги
НОДУ,отдел статистического учета и анализа отделения дороги
НОДФ,финансовый отдел отделения дороги
НОДХ,отдел материально-технического снабжения отделения дороги
НОДШ,отделение сигнализации и связи
НОДЮ,юридический отдел отделения дороги
НОК,дорожная служба управления персоналом
НОР,управление военизированной охраны
НОРВ,отдел военизированной охраны
НФ,финансовая служба дороги
НФКР,участковый финансовый ревизор
НФКРС,старший финансовый ревизор
НХ,дорожная служба материально-технического снабжения
НХГ,главный материальный склад Дороги
НХГУ,участок ГМС
НХО,отдел МТС (2-е подчинение = НОД+НХ)
НХОУ,участок отдела
НЧУ,дорожная служба статистического учета и анализа
НЮ,юридическая служба управления дороги
ОБЛ,вагоны областного типа
ОБЛБ,вагоны областного типа с буфетом
ОДБ,отдельное дорожное бюро (учет, распределение и использование мест)
ОК,купейные вагоны с общими местами
ОМ,мягкие вагоны с общими местами
ОПМС,опытная путевая машинная станция
ОПМСГ,главный инженер ОПМС
ОПЦ,оператор поста централизации стрелочных переводов
ПАБ,полуавтоматическая блокировка
ПБ,планировщик балласта
ПГС,перегонная связь
ПДК,погрузочный кран
ПДМ,дорожная ремонтно-механическая мастерская
ПД,дорожный мастер
ПДБ,бригадир пути
ПДС,старший дорожный мастер
ПДС,поездная диспетчерская связь
ПИТ,Путевой Источник Тока (применяется в системе защиты от электрокоррозии)
ПКО,пункт коммерческого осмотра вагонов
ПКТО,пункт контрольно-технического обслуживания
ПЛ,плацкартные вагоны
ПМГ,путевой моторный гайковерт
ПМС,путевая машинная станция
ПМСГ,главный инженер ПМС
ПОНАБ,Прибор Обнаружения Нагретых Аварийно Букс
ПОТ,пункт опробования тормозов
ПП,пожарный поезд
ППВ,пункт подготовки вагонов к перевозкам
ППЖТ,промышленное предприятие железнодорожного транспорта
ПРБ,путерихтовочная машина Балашенко
ПРМЗ,путевой ремонтно-механический завод
ПРСМ,передвижная рельсосварочная машина
ПС,начальник вагона-путеизмерителя
ПСКС,пост секционирования контактной сети
ПТО,пункт технического обслуживания вагонов
ПТОЛ,пункт технического обслуживания локомотивов
ПТП,пункт технической передачи вагонов на подъездные пути ППЖТ
ПТС,Пассажирская Техническая Станция
ПТЭ,Правила технической эксплуатации железных дорог
ПЧ,дистанция пути, начальник дистанции пути
ПЧМех,дистанционная мастерская
ПЧЗ,зам. начальника дистанции пути (он же ЗамПЧ)
ПЧЛ,дистанция защитных лесонасаждений
ПЧП,балластный карьер
ПЧУ,начальник участка пути
ПШ,шпалопропиточный завод
ПЭМ,поездной электромеханик
Р1,вагоны габарита "РИЦ" I класса
Р2,вагоны габарита "РИЦ" I и II класса
РБ,дорожный ревизор по безопасности движения поездов и автотранспорта
РБА,дорожный ревизор автомобильной службы
РБВ,дорожный ревизор вагонной службы
РБД,дорожный ревизор службы движения
РБМ,дорожный ревизор службы грузовой
РБП,дорожный ревизор службы пути
РБТ,дорожный ревизор локомотивной службы
РБЧС (РБО),дорожный ревизор аппарата РБ по чрезвычайным ситуациям (опасным
РБШЭ,дорожный ревизор службы сигнализации, связи и электроснабжения
РВЦ,региональный вычислительный центр
РЖДС,Росжелдорснаб - филиал ОАО "РЖД"
РКП,редукторно-карданный привод вагонного генератора (бывает от торца оси или от
РМН,реле максимального напряжения генератора (служит для защиты потребителей
РПН,реле пониженного напряжения; защита аккумулятора вагона от глубокого разряда
РПЦ,релейно-процессорная централизация
РСП,рельсосварочный поезд
РЦС,региональный центр связи
РШ, РШС,релейный шкаф сигнальной точки
РШП,рельсошлифовальный поезд
САВПЭ,Система Автоматического Ведения Поезда и Экономии Электроэнергии
САИД "Пальма",Система Автоматической Идентификации, главным образом
САУТ,Система Автоматического Управления Тормозами
СВ,мягкие вагоны с 2-местными купе с верхними и нижними полками
СВН,то же с нижними полками
СВМ,то же с 2-местными и 4-местными купе
СДС,служебная диспетчерская связь
СИРИУС,сетевая интегрированная система российская информационно-
СКНБ,система контроля нагрева букс в пассажирских вагонах
СМП,строительно-монтажный поезд
СПД ЛП,система передачи данных с линейного пункта
СПС,специальный подвижной состав
СР,средний ремонт
ССПС,самоходный СПС
ж.д.,железная дорога
СТП,станционная тяговая подстанция
СТЦ,станционный технологический центр
СУРСТ,система управления работой станции
СЦБ,сигнализация, централизация, блокировка
Т1-2,вагоны габарита "РИЦ" I и II класса
ТГНЛ,телеграмма-натурный лист грузового поезда
ТехПД,технологический центр по обработке перевозочных документов (не более
ТКП,текстропно-карданный привод вагонного генератора
ТМО,тоннельно-мостовой отряд
ТНЦ,локомотивный диспетчер
ТНЦС,старший локомотивный диспетчер
ТП,тяговая подстанция
ТР,текущий ремонт
ТРЦ,тональные рельсовые цепи
ТРКП,текстропно-редукторно-карданный привод вагонного генератора
ТСКБМ,Телемеханическая Система Контроля Бдительности Машиниста
ТЧ,тяговая часть (локомотивное депо); начальник депо
ТЧЗр,заместитель начальника локомотивного депо по ремонту
ТЧЗэ,заместитель начальника локомотивного депо по эксплуатации
ТЧЗк,заместитель начальника локомотивного депо по кадрам
ТЧЗт,заместитель начальника локомотивного депо по топливу
ТЧЗс,заместитель начальника локомотивного депо по снабжению
ТЧГ,главный инженер депо
ТЧГТ,главный технолог депо
ТЧИ,инженер из депо
ТЧМ,машинист
ТЧМИ,машинист-инструктор
ТЧМП,помощник машиниста
ТЧПЛ,приемщик локомотивов (принимает локомотивы из ремонта)
ТЭУ,тягово-энергетическая установка
УГР,уровень головки рельса
УЗП,Устройство Заграждения Переезда
УК,путеукладочный кран
УК25СП,путеукладочный кран для смены стрелочных переводов
УКБМ,Устройство Контроля Бдительности Машиниста (лампочки системы Рема
УКСПС,Устройство для Контроля Схода Подвижного Состава
УРБ,отделенческий ревизор по безопасности движения поездов и автотранспорта
УРБВ,отделенческий ревизор аппарата УРБ по вагонной службе
УРБП,отделенческий ревизор аппарата УРБ по службе пути
УРБТ,отделенческий ревизор аппарата УРБ по локомотивной службе
УРБА,отделенческий ревизор аппарата УРБ по автомобильной службе
УРБМ,отделенческий ревизор аппарата УРБ по грузовой службе
УРБЧС (УРБО),отделенческий ревизор аппарата УРБ по чрезвычайным ситуациям
УРБШЭ,отделенческий ревизор службы сигнализации, связи и энергоснабжения
УСАБ,усовершенствованная АБ
УСАБ-Ц,УСАБ с централизованным размещением аппаратуры
УСАВП,Усовершенствованная Система Автоматического Ведения Поезда
УКП СО,устройство контроля свободности перегона методом счёта осей подвижного
УКРУП,устройство контроля усилия перевода
УУ АПС СО,устройство управления автоматической переездной сигнализацией с
УЭЗ,управление экономической защиты МПС
ЦАБ,Централизованная Автоматическая Блокировка
ЦБТ,управление охраны труда РЖД
ЦВ,департамент вагонного хозяйства РЖД
ЦД,департамент управления перевозками РЖД
ЦДВ,отдел негабаритных и специальных перевозок ЦД
ЦДГР,главный ревизор ЦД
ЦЗ,заместитель Ц
ЦИ,управление внешних связей РЖД
ЦИС,департамент информатизации и связи РЖД
ЦКАДР,департамент кадров и учебных заведений РЖД
ЦЛ,департамент пассажирских сообщений РЖД
ЦМ,департамент грузовой и коммерческой работы РЖД
ЦМГВ,цельнометаллический грузовой вагон.
ЦМКО,отдел по организации и условиям перевозок ЦМ
ЦМКЮ,отдел по профилактике сохранности перевозимых грузов ЦМ
ЦМХ,отдел скоропортящихся грузов ЦМ
ЦН,управление делами РЖД
ЦНИИТЭИ,Московский филиал ВНИИУП (ранее - центральный научно-
ЦП,департамент пути и сооружений РЖД
ЦРБ,аппарат главного ревизора по безопасности движения поездов и автотранспорта,
ЦРБ,департамент безопасности движения и экологии РЖД
ЦРБА,главный ревизор аппарата ЦРБ по автомобильной службе
ЦРБВ,главный ревизор аппарата ЦРБ по вагонной службе
ЦРБД,главный ревизор аппарата ЦРБ по службе движения
ЦРБМ,главный ревизор аппарата ЦРБ по грузовой службе
ЦРБТ,главный ревизор аппарата ЦРБ по локомотивной службе
ЦРБП,главный ревизор аппарата ЦРБ по службе пути
ЦРБЧС (ЦРБО),главный ревизор аппарата ЦРБ по чрезвычайным ситуациям (опасным
ЦРБШЭ,ревизор по службе сигнализации, связи и энергоснабжения
ЦРЖ,департамент реформирования железнодорожного транспорта РЖД
ЦСЖТ,совет по железнодорожному транспорту государств-участников Содружества
ЦТ,департамент локомотивного хозяйства РЖД
ЦТЕХ,департамент технической политики РЖД
ЦТВР,Главное управление по ремонту подвижного состава и производству запасных
ЦУВС,департамент здравоохранения РЖД
ЦУКС,департамент капитального строительства и эксплуатации объектов
ЦУО,управление военизированной охраны РЖД
ЦУП,центр управления перевозками РЖД
ЦУШ,управление имущества и реестра предприятий РЖД
ЦФ,департамент финансов РЖД
ЦФТО,центр фирменного транспортного обслуживания РЖД
ЦЧУ,управление статистики РЖД
ЦШ,департамент сигнализации, централизации и блокировки РЖД
ЦЭ,департамент электрификации и энергоснабжения РЖД
ЦЭУ,департамент экономики РЖД
ЦЮ,юридическое управление РЖД
ЧДК,частотный диспетчерский контроль
ШМ,электромонтёр
ШН,электромеханик СЦБ или связи
ШНС,старший электромеханик СЦБ или связи
ШНЦ,механик СЦБ
ШНЦС,старший механик СЦБ
ШРМ,шпалоремонтная мастерская
ШЦМ,электромонтер СЦБ или связи
ШЧ,дистанция сигнализации, централизации и блокировки (быв. дистанция
ШЧГ,главный инженер ШЧ
ШЧД,диспетчер дистанции или дежурный инженер дистанции
ШЧЗ,зам. ШЧ (обычно их двое: по связи и по СЦБ)
ШЧИС,старший инженер ШЧ
ШЧУ,начальник производственного участка СЦБ или связи
ЩОМ,щебнеочистительная машина
ЭДС,энергодиспетчерская связь
ЭЖС,электрожезловая система
ЭМС,электромеханическая служба
ЭС,служба энергоснабжения
ЭССО,электронная система счета осей
ЭЦ-Е, ЭЦ-ЕМ,электрическая централизация единого ряда (микроэлектронная, она же
ЭЦ-И,электрическая централизация с индустриальной системой монтажа
ЭЦ-МПК,электрическая централизация на базе микроЭВМ и программируемых
ЭЧ,дистанция электроснабжения, начальник дистанции электроснабжения
ЭЧГ,главный инженер дистанции электроснабжения.
ЭЧЗК,заместитель начальника дистанции электроснабжения по контактной сети
ЭЧЗП,заместитель начальника дистанции электроснабжения по тяговым подстанциям
ЭЧК,район контактной сети дистанции электроснабжения, начальник района
ЭЧКМ,мастер ЭЧК
ЭЧП,начальник тяговой подстанции
ЭЧС,сетевой район дистанции электроснабжения, начальник сетевого района
ЭЧЦ,энергодиспетчер дистанции электроснабжения
ЭЧЦС,старший ЭЧЦ
ЭЧЭ,тяговая подстанция
